Reklamos skleidėjo rekvizitai:,,,Leidimo Nr.,Leidimas galioja,,Reklaminio įrenginio,,Reklamos tipas ir tekstas,Reklaminio įrenginio projekto reg. Nr.,Reklamos plotas kv. m,Rekl. įrenginio plokštumų skaičius
juridinio asmens (j. a.) pavadinimas (fizinio asmens vardas ir pavardė),j. a. kodas,j. a. buveinė,,nuo,iki,"įrengimo adresas, vieta ",miesto dalis Kaune,,,,
A. ir G. Žilinskų firma „Žeiga“,3261148,"Planetų g. 18-1, Kaunas",29-24-667,3/17/2016,2/9/2019,Savanorių pr. 243 / Tvirtovės al. 88,Dainava,Iškaba: „Proginių drabužių salonas  Žeiga“,70-13-571,2.68,
Advokato Vytauto Antano Vilučio kontora,9400585,"Vytauto pr. 58-4, Kaunas",29-24-231,2/10/2015,1/11/2020,Vytauto pr. 58,Naujamiestis,Iškaba: „Advokatų kontora“,70-13-103,0.56,
Akcinė draudimo bendrovė „ERGO Lietuva“,110012799,"Geležinio Vilko g. 6A, Vilnius",29-24-1457,7/4/2018,6/25/2023,Jonavos g. 7,Senamiestis,Iškaba: „Ergo“,70-13-752,2.43,
UAB „Konica Minolta Baltia“,110042632,"J. Jasinskio g. 16A, 03163 , Vilnius",29-24-2533,12/13/2017,12/5/2022,Karaliaus Mindaugo pr. 7,Senamiestis,Iškaba: „KONICA MINOLTA“,70-13-1626,2.1,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, Vilnius",29-24-381,1/31/2014,1/30/2019,Pramonės pr. 29,Dainava,Iškaba: „LIETUVOS DRAUDIMAS “,70-13-324,3,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, Vilnius",29-24-382,1/31/2014,1/30/2019,Veiverių pl. 150 B,Kazliškiai,Iškaba: „LIETUVOS DRAUDIMAS “,70-13-325,2,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, Vilnius",29-24-587,3/16/2015,3/3/2020,Savanorių pr. 433A,Eiguliai,Iškaba: „LIETUVOS DRAUDIMAS  (2 vnt.)  “,70-13-295,16.29,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12, Vilnius",29-24-1020,5/15/2015,4/28/2020,Raudondvario pl. 164A,Veršvai,Iškaba: „LIETUVOS DRAUDIMAS“,70-13-492,3,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, Vilnius",29-24-1534,8/14/2015,7/22/2018,Taikos pr. 145,Naujasodis,Iškaba: „LIETUVOS DRAUDIMAS (4 vnt.)“,70-13-722,2.36,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12, Vilnius",29-24-1955,10/20/2015,10/7/2020,Savanorių pr. 433A,Eiguliai,Iškaba: „LIETUVOS DRAUDIMAS (4 vnt.)  Žalos sureguliavimo centras (2 vnt.) Darbo laikas“,70-13-1089,6.2,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, 03600, Vilnius",29-24-432,3/18/2017,1/21/2019,Raudondvario pl. 234,Lampėdžiai,Iškaba: „LIETUVOS DRAUDIMAS  Darbo laikas  Lipdukai“,70-13-383,1.1,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12, 03600, Vilnius",29-24-2552,12/15/2017,12/15/2018,Lukšio g. 60,Eiguliai,Iškaba: „Lietuvos draudimas“,70-13-1609,2,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12, Vilnius",29-24-1109,5/25/2018,5/15/2019,Savanorių pr. 433A,Eiguliai,Iškaba: „Drauskis kol nedega“,70-13-565,15.66,
Akcinė bendrovė „Lietuvos draudimas“,110051834,"J. Basanavičiaus g. 12A, Vilnius",29-24-1499,7/23/2018,7/9/2023,Taikos pr. 145,Naujasodis,Iškaba: „LIETUVOS DRAUDIMAS (4 vnt.)“,70-13-786,2.36,
Akcinė bendrovė  „Lietuvos geležinkeliai“ Krovinių vežimo direkcija,110053842,"Mindaugo g. 12, Vilnius",29-24-1594,11/7/2013,11/6/2018,Palemono g. 163A,Palemonas,Komercinė nuoroda: „Lietuvos geležinkeliai  Kauno geležinkelio stotis  Teikiamos paslaugos “,70-13-1474,1.33,
Akcinė bendrovė  „Lietuvos geležinkeliai“ ,110053842,"Mindaugo g. 12, Vilnius",29-24-1252,5/20/2016,4/30/2021,Prie A. Juozapavičiaus pr. 116,Žemieji Šančiai,Komercinė nuoroda: „Lietuvos geležinkeliai  Vilniaus lokomotyvų DEPO Kauno cechas  Teikiamos paslaugos “,70-13-486,1.24,
Akcinė draudimo bendrovė „Gjensidige“,110057869,"Žalgirio g. 90, 09303, Vilnius",29-24-1249,6/13/2018,6/13/2019,Vytauto pr. 87,Žaliakalnis,Iškaba: „Gjensidige Parduodamos arba išnuomojamos patalpos“,70-13-633,1.48,
Akcinė draudimo bendrovė „Gjensidige“,110057869,"Žalgirio g. 90, 09303, Vilnius",29-24-1603,7/30/2018,7/29/2021,Savanorių pr. 363A,Eiguliai,Iškaba: „Gjensidige“,70-13-849,2.48,
"Kauno prekybos, pramonės ir amatų rūmai",110068545,"K. Donelaičio g. 8, Kaunas",29-24-1403,10/15/2013,9/10/2018,K. Donelaičio g. 8,Žaliakalnis,"Iškaba: „Kauno prekybos, pramonės ir amatų rūmai  Europos verslo ir inovacijų tinklas“",70-13-1202,0.49,
