Lic. Nr.,Licencijos turėtojo rekvizitai,,Prekybos vietos pavadinimas ir adresas,Lic. verstis mažmenine prekyba,"Licencijos galiojimas 
sustabdytas",
,pavadinimas,kodas,,,nuo,iki
1252,UAB „Festonas“,3478772,"autoparduotuvė prie Lampėdžių karjero, valst. Nr. RK 260",tabako gaminiais,2007 12 03,
1431,UAB „Festonas“,3478772,"autoparduotuvė prie Lampėdžių karjero, valst. Nr. RK 260","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
291,UAB „Maringa“,133501952,"baras, M. Riomerio g. 1",tabako gaminiais,2007 12 03,
291/1,UAB „Maringa“,133501952,"parduotuvė, M. Riomerio g. 1A",tabako gaminiais,2007 12 03,
738/1,UAB „Maringa“,133501952,"specializuotas parduotuvės skyrius, M. Riomerio g. 1A",alkoholiniais gėrimais,2007 12 03,
738/4,UAB „Maringa“,133501952,"baras I a., M. Riomerio g. 1A",alkoholiniais gėrimais,2007 12 03,
738/5,UAB „Maringa“,133501952,"baras II a., M. Riomerio g. 1A",alkoholiniais gėrimais,2007 12 03,
429,UAB „Vox optima“,134303133,"paviljonas, Šiaurės pr., prie namo Nr. 67",tabako gaminiais,2007 12 03,
429/1,UAB „Vox optima“,134303133,"paviljonas, Partizanų g. 172A",tabako gaminiais,2007 12 03,
429/2,UAB „Vox optima“,134303133,"baras, parduotuvė, Šiaurės pr. 43A",tabako gaminiais,2007 12 03,
183/2,UAB „Vox optima“,134303133,"baras, Šiaurės pr. 43A",alkoholiniais gėrimais,2007 12 03,
183,UAB „Vox optima“,134303133,"paviljonas, Šiaurės pr., prie namo Nr. 67","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
183/1,UAB „Vox optima“,134303133,"paviljonas, Partizanų g. 172A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
183/3,UAB „Vox optima“,134303133,"specializuotas parduotuvės skyrius, Šiaurės pr. 43A",alkoholiniais gėrimais,2007 12 03,
361,UAB „Dvynukės ir Ko“,134695289,"kioskas, Šiaurės pr., prie namo Nr. 17",tabako gaminiais,2007 12 03,
200/1,UAB „Dvynukės ir Ko“,134695289,kioskas prie namo Šiaurės pr. 17,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
1691,UAB „Saldita“,135149720,"šokoladinė, M. Daukšos g. 48, Kaunas",alkoholiniais gėrimais,2007 12 03,
1818,Uždaroji akcinė bendrovė „Bajorkiemis“,159424185,"kavinė, Karaliaus Mindaugo pr. 49, Kaunas",alkoholiniais gėrimais,2007 12 03,
1551,UAB „Tungusas“,300061052,"paviljonas, Sartų g. 20, Kaunas",tabako gaminiais,2007 12 03,
1551/1,UAB „Tungusas“,300061052,"kioskas, P. Plechavičiaus g., prie namo P. Lukšio g. 60, Kaunas",tabako gaminiais,2007 12 03,
1696/1,UAB „Virgina ir tu“,300108153,"kavinė, Savanorių pr. 352, Kaunas",alkoholiniais gėrimais,2007 12 03,
1696/2,UAB „Virgina ir tu“,300108153,"kavinė-baras, K. Baršausko g. 77-9, Kaunas",alkoholiniais gėrimais,2007 12 03,
1561,UAB „Vaipetas“,300125505,"parduotuvė, baras, Kuršių g. 51, Kaunas",tabako gaminiais,2007 12 03,
1561/1,UAB „Vaipetas“,300125505,"kavinė-baras (2D), Pramonės pr. 14 (11F1p), Kaunas",tabako gaminiais,2007 12 03,
1742/1,UAB „Vaipetas“,300125505,"specializuotas alkoholinių gėrimų pardavimo skyrius, Kuršių g. 51, Kaunas",alkoholiniais gėrimais,2007 12 03,
1742/3,UAB „Vaipetas“,300125505,"kavinė-baras (2D), Pramonės pr. 14 (11F1p), Kaunas",alkoholiniais gėrimais,2007 12 03,
1742,UAB „Vaipetas“,300125505,"baras, Baltijos g. 112, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
1742/2,UAB „Vaipetas“,300125505,"baras, Kuršių g. 51, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2007 12 03,
