Lic. (leid.) Nr.,Licencijos (leidimo) turėtojo rekvizitai:,,Prekybos vieta,Licencijos (leidimo) rūšis,Galiojimo sustabdymo laikotarpis,
,pavadinimas,kodas,,,nuo,iki
1933,IĮ „Tormenta“,132848925,"degalinė, Linkuvos g. 77, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 03 25,
288,P. Rugio įmonė „Broliai juodvarniai“,133061442,"specializuotas parduotuvės skyrius, Varnių g. 44A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
288/3,P. Rugio įmonė „Broliai juodvarniai“,133061442,"pailginto darbo laiko specializuotas parduotuvės skyrius, 
Varnių g. 44A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
288/4,P. Rugio įmonė „Broliai juodvarniai“,133061442,"specializuotas parduotuvės skyrius, Varnių g. 15",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
159,UAB „Ūgė“,133271451,"kavinė „Varnelė“, Laisvės al. 15-9",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 03 15,
183,UAB „Vox optima“,134303133,"paviljonas, Šiaurės pr., prie namo Nr. 67","licencija verstis mažmenine prekyba alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2017 08 24,
183/1,UAB „Vox optima“,134303133,"paviljonas, Partizanų g. 172A","licencija verstis mažmenine prekyba alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 procento",2017 08 24,
358/1,L. Šešplaukienės firma „Banginukas“,134519939,"baras, Sukilėlių pr. 74, Kaunas",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2017 08 24,
898/2,UAB „Lanx“,134604631,"degalinė, Baltų pr. 141A",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 03 25,
898/3,UAB „Lanx“,134604631,"degalinė, Partizanų g. 87G",licencija verstis mažmenine prekyba alkoholiniais gėrimais,2016 03 25,
