Eil. Nr.,Lic. Nr.,Licencija galioja,,Licencijos turėtojo rekvizitai:,,,,Prekybos vietos,,Licencijos rūšis: verstis mažmenine prekyba,Prekybos alkoholiniais gėrimais laikas,Licencijos galiojimas sustabdytas,,Licencijos,,,Prekybos alkoholiniais gėrimais būdas
,,nuo,"iki
(n – neter-
minuota)","pavadinimas 
(nuo 2017-11-01 rekvizitus įmonės tikslina tik VĮ Registrų centro Licencijų informacinėje sistemoje https://www.licencijavimas.lt/lis-epp-app/public)",kodas,teisinė forma,buveinė,miesto dalis,pavadinimas ir adresas,,,nuo,iki,papildymų datos,patikslinimų datos,"galiojimo panaikinimo data 
(skelbiama nuo 2011-01-01)",
1,1591,2004-01-15,n,UAB „Yrun“,1180431,,,Naujasodis,"kavinė (1-19), Pramonės pr. 16 (12E1g)",alkoholiniais gėrimais,10–18 val.,,,,,,gerti ten pat ir išsinešti
2,394/1,2000-08-30,n,Kauno technologijos universitetas,1195058,,,Žaliakalnis,"baras, Vydūno al. 25B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
3,394/2,2001-08-31,n,Kauno technologijos universitetas,1195058,,,Žaliakalnis,"parduotuvė, Vydūno al. 25B","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
4,394/3,2002-06-05,n,Kauno technologijos universitetas,1195058,,,Gričiupis,"kavinė, A. Purėno g. 18","alk. gėrimais, kurių tūrinė etilo alkoholio koncentracija neviršija 22 proc.",9–22 val.,,,,,,gerti ten pat ir išsinešti
5,1638,2004-08-06,n,IĮ „Auradis“,1411412,,,Eiguliai,"kioskas, P. Lukšio g. prie namo Nr. 27, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
6,1625,2004-06-15,n,UAB „Puppa“,1433405,,,Naujamiestis,"kavinė-baras, Laisvės al. 59, Kaunas",alkoholiniais gėrimais,10–4 val.,,,,,,gerti ten pat ir išsinešti
7,1394,2002-05-02,n,UAB „Bacoma De Molen“,2265656,,,Naujasodis,"parduotuvė, Pramonės pr. 6A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",6–22 val.,,,,,,išsinešti
8,1294,2001-08-18,n,UAB „Plaunu pats“,2290694,,,Gričiupis,"parduotuvė, Taikos pr. 80A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
9,1415,2002-07-02,n,UAB „Optimum exemplum“,2531615,,,Naujamiestis,"kavinė-baras, Girstupio g. 9-12",alkoholiniais gėrimais,9–24 val.,,,,,,gerti ten pat ir išsinešti
10,1633,2004-07-26,n,UAB „Technodesa“,2572223,,,Naujamiestis,"baras, A. Mickevičiaus g. 23, Kaunas",alkoholiniais gėrimais,11–1 val.,,,,,,gerti ten pat ir išsinešti
11,1633/1,2005-03-22,n,UAB „Technodesa“,2572223,,,Eiguliai,"baras, Savanorių pr. 375, Kaunas",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
12,1520,2003-06-11,n,UAB „Uniplus“,2616587,,,Žaliakalnis,"kavinė, Savanorių pr. 235",alkoholiniais gėrimais,10–24 val.,,,,,,gerti ten pat ir išsinešti
13,1418,2002-07-05,n,F. Vaitonio įmonė,3210729,,,Eiguliai,kioskas prie Savanorių pr. ir P. Lukšio g. sankryžos,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
14,1254/2,2002-06-06,n,E. Dagilio įmonė,3211357,,,Aukštieji Šančiai,"baras, Prancūzų g. 113",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
15,177,1997-08-01,n,UAB „Puta“,3214083,,,Gričiupis,"kioskas, Studentų g., prieš namą Nr. 8","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–23 val.,,,,,,išsinešti
16,912,1999-03-31,n,UAB „Kepazas“,3218457,,,Kalniečiai,"kavinė, Lazūnų g. 19",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
17,397,1997-09-01,n,UAB „Žarijų karštis“,3223452,,,Žaliakalnis,"baras, Kalniečių g. 102",alkoholiniais gėrimais,11–24 val.,,,,,,gerti ten pat ir išsinešti
18,321/3,2001-08-01,n,UAB „Pas Prancišką“,3227549,,,Gričiupis,"kavinė, Pašilės g. 39A",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
19,634/1,2001-01-24,n,E. Krupskio įmonė „Eglutė“,3237091,,,Kleboniškis,"specializuotas parduotuvės skyrius, Kleboniškio g. 20",alkoholiniais gėrimais,7–23 val.,,,,,,išsinešti
20,414,1997-09-01,n,Nijolės Markevičienės įmonė,3237201,,,Petrašiūnai,"kioskas, R. Kalantos g. 82","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
21,1441,2002-09-11,n,Ferdinando Kaubrio įmonė,3238102,,,Kalniečiai,"baras, Tvirtovės al. ir V. Lašo g. sankryža","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
22,1441/1,2002-11-09,n,Ferdinando Kaubrio įmonė,3238102,,,Kalniečiai,"parduotuvė, Tvirtovės al. ir V. Lašo g. sankryža","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–22 val.,,,,,,išsinešti
23,1587,2003-12-23,n,Felicijos Kamantauskienės įmonė,3240845,,,Smėliai,kioskas prie pastato Baltijos g. 53A,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
24,1126,2001-02-01,n,Nijolės Eizitavičienės įmonė,3251284,,,Dainava,paviljonas prie pastato V. Krėvės pr. 97,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,išsinešti
25,1241/1,2002-06-12,n,UAB „Rema“,3255021,,,Naujamiestis,"valgykla, Vytauto pr. 3","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–20 val.,,,,,,gerti ten pat ir išsinešti
26,593/2,2001-02-14,n,UAB „Kailis“,3260156,,,Aukštieji Šančiai,"baras, Skuodo g. 40A",alkoholiniais gėrimais,8–22 val.,,,,,,gerti ten pat ir išsinešti
27,1009/1,2001-03-01,n,Virginijos Bartkienės įmonė,3262034,,,Eiguliai,"baras, Savanorių pr. 375, UAB „Vekšis“ turgavietė",alkoholiniais gėrimais,6–24 val.,,,,,,gerti ten pat ir išsinešti
28,1009/2,2004-04-29,n,Virginijos Bartkienės įmonė,3262034,,,Žaliakalnis,"parduotuvė (9-3), Žemaičių pl. 66, Kaunas","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–20 val.,,,,,,išsinešti
29,176/4,2002-11-27,n,UAB „Paulenė“,3273789,,,Žaliakalnis,"kavinė-svetainė, Zanavykų g. 28",alkoholiniais gėrimais,7–24 val.,,,,,,gerti ten pat ir išsinešti
30,97,1997-08-01,n,UAB „Mūsų pakeleivis“,3287868,,,Eiguliai,"paviljonas, P. Plechavičiaus g. 2A","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",7–22 val.,,,,,,išsinešti
31,313,1997-08-01,n,Viliaus Eizitavičiaus įmonė,3291025,,,Dainava,"kavinė, V. Krėvės pr. 97E",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
32,313/1,2001-04-30,n,Viliaus Eizitavičiaus įmonė,3291025,,,Dainava,"specializuotas parduotuvės skyrius, V. Krėvės pr. 97H",alkoholiniais gėrimais,0–24 val.,,,,,,išsinešti
33,213,1997-08-01,n,UAB „Violita“,3292548,,,Senamiestis,"kavinė-baras, M. Daukšos g. 51 / Šv. Gertrūdos g. 64",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
34,213/1,1998-09-01,n,UAB „Violita“,3292548,,,Žaliakalnis,"baras, Vydūno al. 33",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
35,213/2,2000-09-20,n,UAB „Violita“,3292548,,,Eiguliai,"kavinė-baras, Savanorių pr. 431",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
36,101,1997-08-01,n,Žilvino Gaižausko įmonė „Eda“,3305023,,,Milikoniai,"baras, Šarkuvos g. 16-17",alkoholiniais gėrimais,8–24 val.,,,,,,gerti ten pat ir išsinešti
37,676,1998-02-01,n,R. Vitienės įmonė,3306694,,,Milikoniai,kioskas prie namo Kuršių g. 38,"alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",0–24 val.,,,,,,išsinešti
38,935/2,2001-05-09,n,UAB „Kauno Guoda“,3307413,,,Senamiestis,"kavinė, Kurpių g. 12 / L.Zamenhofo g. 12","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
39,76,1997-08-01,n,V. Ramašausko firma „Monticola“,3316361,,,Veršvai,"baras, Raudondvario pl. 212B",alkoholiniais gėrimais,0–24 val.,,,,,,gerti ten pat ir išsinešti
40,798/3,1998-07-29,n,UAB „Taubūčiai“,3319451,,,Milikoniai,"alaus baras, Jotvingių g. 15","alumi ir natūralios fermentacijos sidru, kurio tūrinė etilo alkoholio koncentracija neviršija 8,5 proc.",8–24 val.,,,,,,gerti ten pat ir išsinešti
41,1019/1,2001-04-11,n,UAB „Rica“,3320891,,,Aleksotas,"specializuotas parduotuvės skyrius, Veiverių g. 94",alkoholiniais gėrimais,8–20 val.,,,,,,išsinešti
42,1090/1,2001-10-29,n,Vytauto Paulausko įmonė,3325362,,,Vilijampolė,"specializuotas parduotuvės skyrius, Jurbarko g. 23",alkoholiniais gėrimais,8–22 val.,,,,,,išsinešti
