--->ALEKSOTO seniūnija,,,,,,,,
Licencijos,,,Licencijos turėtojo rekvizitai,,Prekybos vietos,,"Licencijos galiojimas 
sustabdytas",
Nr.,išdavimo data,"galiojimo data
(n - neterminuota)",pavadinimas,kodas,pavadinimas ir adresas,"miesto 
dalis",nuo,iki
222,1/1/1999,n,UAB „Rica“,3320891,"parduotuvė, Veiverių g. 94",Aleksotas,,
510,1/6/1999,n,J. Gališanskienės įmonė „Teksta“,3344523,"parduotuvė, Veiverių g. 105-1",Birutė,,
177/4,10/4/2000,n,UAB „Dola“,3352202,"parduotuvė, Vinčų g. 20",Freda,,
681/1,9/1/2002,n,UAB „Grūdelis“,3505857,"valgykla, H. ir O. Minkovskių g. 63",Freda,,
1373,11/12/2003,n,UAB „Tikslinga kryptis“,3603484,kioskas prie pastato S. Dariaus ir S. Girėno g. 39,Aleksotas,,
1276,11/20/2002,n,UAB „Įpiltis“,5982091,"parduotuvė, Pagirėnų g. 2",Kazliškiai,,
1397,2/12/2004,n,Virmantės Bašinskienės įmonė,6028747,"kioskas, Veiverių g. 47B",Aleksotas,,
1206/9,5/29/2003,n,UAB „Palink“,110193723,"parduotuvė, Veiverių g. 150",Kazliškiai,,
1378/6,12/7/2005,n,UAB „Impress teva“,110803767,"parduotuvė, Veiverių g. 150B, Kaunas",Kazliškiai,,
1168/7,1/9/2006,n,UAB „Baltic Petroleum“,111703588,"degalinė, H. ir O. Minkovskių g. 132, Kaunas",Freda,,
1879/2,12/27/2016,n,UAB „Lidl Lietuva“,111791015,"parduotuvė, Veiverių g. 146, Kaunas",Kazliškiai,,
1565/8,6/12/2017,n,UAB „Gelsva“,120596772,"parduotuvė „VYNOTEKA“, Europos pr. 43, Kaunas",Freda,,
1661/1,6/23/2016,n,Uždaroji akcinė bendrovė „VILOKTA“,122889941,"kavinė, Europos pr. 43, Kaunas",Freda,,
1121/1,6/20/2016,n,Uždaroji akcinė bendrovė „PLAUNU PATS“,122906942,"parduotuvė, Veiverių g. 132D, Kaunas",Aleksotas,,
