Eil. Nr.,"Leidimo rūšis:
1 - verstis mažmenine prekyba nefasuotais naftos produktais, 
2 - verstis didmenine prekyba nefasuotais naftos produktais, 
3 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos laivams, 
4 - verstis didmenine prekyba nefasuotais naftos produktais, kurie tiekiami kaip kuro atsargos orlaiviams",Leid. Nr.,Leidimas išduotas," 


Leidimo turėtojo rekvizitai:",,,"


Leidimo verstis mažmenine prekyba degalinės adresas",,"


Leidžiama prekiauti šiais nefasuotais naftos produktais:",,,,,,,,,Leidimo,,,,
,,,,juridinio asmens pavadinimas arba fizinio asmens vardas ir pavardė,juridinio asmens kodas,juridinio asmens buveinės adresas ,adreso miesto dalis,adresas,aviacinis benzinas,"variklių benzinas, kurio oktaninis skaičius mažesnis kaip 95","variklių benzinas, kurio oktaninis skaičius ne mažesnis 95, bet mažesnis kaip 98","variklių benzinas, kurio oktaninis kaičius ne mažesnis kaip 98",Reaktyviniai degalai,"gazoliai - dyzeliniai degalai, šildymui skirti gazoliai, kiti gazoliai",skystasis kuras,"suskystintos dujos, skirtos autotransporto priemonėms",biodyzelinas,patikslinimo datos,papildymo datos,galiojimo sustabdymo data (laikotarpis),galiojimo sustabdymo panaikinimo data,galiojimo panaikinimo data (skelbiama 6 mėnesius)
1,1,27,2001 06 18,A. Kondratavičiaus firma „Tormenta“,132848925,"Kaunas, Chemijos g. 7-41",Vilijampolė,prie Linkuvos ir A. Stulginskio gatvių sankryžos,,1,1,,,1,,,,"2003 03 03, 2005 11 18",2005 11 18,,,
2,1,40,2002 01 01,AB „Suskystintos dujos“,1085689,"Vilnius, Smolensko g. 1",Naujasodis,Ateities pl. 45A,,,,,,,,1,,2003 03 10,,,,
3,1,19,2001 05 04,AB „Ventus-nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Dainava,Pramonės pr. 37,,1,1,1,,1,,1,1,"2003 03 10, 2004 12 10, 2006 04 14","2003 03 10, 2004 12 10, 2005 03 18",,,
4,1,19/1,2001 06 22,AB „Ventus-nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Kazliškiai,Veiverių g. 148B,,1,1,1,,1,,1,,"2003 03 10, 2004 12 10, 2006 04 14",2005 04 08,,,
5,2,75,2013 10 24,Akcinė bendrovė „Kauno tiltai“,133729589,"Kauno m. sav., Kauno m., Ateities pl. 46",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams ,,,,,,1,,,,,,,,
6,1,19/2,2006 06 30,Akcinė bendrovė „Ventus-Nafta“,166920025,"Vilnius, J. Jasinskio g. 16B",Vilijampolė,"Varnių g. 50, Kaunas",,1,1,1,,1,,1,1,,,,,
7,4,9849 O,2002 07 16,"Bendra Lietuvos, Suomijos ir JAV įmonė uždaroji akcinė bendrovė „BALTIJOS NAFTA“",110394530,"Kauno m. sav., Kauno m., J. Kumpio g. 7-1",PREKYBA VISOJE LIETUVOJE,"Viešoji įstaiga „S. Dariaus ir S. Girėno aerodromas“ (įmonės kodas 135087311), Veiverių g. 132, Kaunas, talpykla Nr. 191083001; UAB „Ašva“ (įmonės kodas 2198041), Paluknio aerodromas, Paluknio sen., Trakų r., talpykla Nr. 790090001.",1,,1,1,1,,,,,,2018 03 27,,,
8,2,9616 D,2001 03 26,"Bendra Lietuvos, Suomijos ir JAV įmonė uždaroji akcinė bendrovė „BALTIJOS NAFTA“",110394530,"Kauno m. sav., Kauno m., J. Kumpio g. 7-1",PREKYBA VISOJE LIETUVOJE,Tiesioginis nefasuotų naftos produktų pristatymas pirkėjams,1,1,1,1,1,1,,1,,,,2018 04 19 - 2018 04 26,,2018 04 30
9,1,8,2001 03 11,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Gričiupis,Taikos pr. 52A,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
10,1,8/1,2001 03 11,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Dainava,Savanorių pr. 402A,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 09 18,,,
11,1,8/2,2001 03 28,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Veršvai,Raudondvario pl. 107A,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 03 07,,,
12,1,8/3,2001 03 28,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Naujasodis,Pramonės pr. 18,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
13,1,8/4,2001 04 18,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Eiguliai,Savanorių pr. 321,,1,1,1,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
14,1,8/5,2001 04 23,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Smėliai,Žemaičių pl. 19,,1,1,1,,1,,1,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",2002 04 15,,,
15,1,8/7,2001 06 22,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Vilijampolė,Varnių g. 46,,1,1,,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
16,1,8/8,2001 06 02,"Circle K Lietuva, UAB",211454910,"Vilniaus m. sav., Vilniaus m., J. Jasinskio g. 16A",Petrašiūnai,R. Kalantos g. 68,,1,1,,,1,,,,"2003 03 04, 2004 02 06, 2004 11 19, 2013 01 07, 2016 04 20",,,,
